Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,Molecule,Canonical SMILES,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,
 Ammi visnaga,Dihydrosamidin,CC(CC(=O)O[C@@H]1[C@H](OC(=O)C)c2c(OC1(C)C)ccc1c2oc(=O)cc1)C,C21H24O7,388.41,28,10,0.48,6,7,0,102.51,92.04,3.42,3.22,3.2,2.29,3.83,3.19,-4.15,2.78E-02,7.16E-05,Moderately soluble,-4.83,5.81E-03,1.49E-05,Moderately soluble,-5.41,1.51E-03,3.90E-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.38,0,0,0,0,0,0.55,0,2,1,4.58
 Ammi visnaga,Samidin,CC(=O)O[C@@H]1c2c(ccc3c2oc(=O)cc3)OC([C@@H]1OC(=O)C=C(C)C)(C)C,C21H22O7,386.4,28,10,0.38,5,7,0,102.03,92.04,3.49,3.4,3.12,2.22,3.67,3.18,-4.31,1.88E-02,4.88E-05,Moderately soluble,-5.01,3.76E-03,9.72E-06,Moderately soluble,-5.05,3.47E-03,8.97E-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.24,0,0,0,0,0,0.55,0,3,1,4.56
 Ammi visnaga,Visnadin,CC[C@H](C(=O)O[C@@H]1[C@H](OC(=O)C)c2c(OC1(C)C)ccc1c2oc(=O)cc1)C,C21H24O7,388.41,28,10,0.48,6,7,0,102.51,92.04,3.45,3.35,3.2,2.29,3.83,3.23,-4.23,2.30E-02,5.93E-05,Moderately soluble,-4.96,4.26E-03,1.10E-05,Moderately soluble,-5.41,1.51E-03,3.90E-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.29,0,0,0,0,0,0.55,0,2,1,4.76
 Ammi visnaga,Rhamnocitrin 3-O-sulfate,COc1cc(O)c2c(c1)oc(c(c2=O)OS(=O)(=O)O)c1ccc(cc1)O,C16H12O9S,380.33,26,16,0.06,4,9,3,90.68,151.88,1.4,2.25,3.14,-0.26,0.93,1.49,-3.81,5.93E-02,1.56E-04,Soluble,-5.08,3.20E-03,8.40E-06,Moderately soluble,-4.13,2.79E-02,7.33E-05,Moderately soluble,Low,No,No,No,No,No,No,No,-7.02,0,0,1,1,1,0.11,0,1,1,3.54
 Ammi visnaga,Quercetin 3-O-sulfate,Oc1cc(O)c2c(c1)oc(c(c2=O)OS(=O)(=O)O)c1ccc(c(c1)O)O,C15H10O10S,382.3,26,16,0,3,10,5,88.23,183.11,0.87,1.79,2.54,-1.01,-0.06,0.83,-3.6,9.71E-02,2.54E-04,Soluble,-5.25,2.13E-03,5.57E-06,Moderately soluble,-2.86,5.31E-01,1.39E-03,Soluble,Low,No,No,Yes,No,No,No,No,-7.36,0,0,1,1,1,0.11,1,2,1,3.54
 Ammi visnaga,Rhamnetin 3-O-sulfate,COc1cc(O)c2c(c1)oc(c(c2=O)OS(=O)(=O)O)c1ccc(c(c1)O)O,C16H12O10S,396.33,27,16,0.06,4,10,4,92.7,172.11,1.41,2.12,2.85,-0.76,0.47,1.22,-3.81,6.18E-02,1.56E-04,Soluble,-5.37,1.71E-03,4.31E-06,Moderately soluble,-3.55,1.12E-01,2.83E-04,Soluble,Low,No,No,Yes,No,No,No,No,-7.21,0,0,1,1,1,0.11,1,2,1,3.61
 astragalus cytosus,"2,3-Dimethylaniline",Cc1c(C)cccc1N,C8H11N,121.18,9,6,0.25,0,0,1,40.78,26.02,1.68,2.15,1.89,2.14,2.06,1.98,-2.44,4.41E-01,3.64E-03,Soluble,-2.33,5.69E-01,4.69E-03,Soluble,-2.77,2.08E-01,1.72E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.51,0,1,0,0,2,0.55,0,1,1,1
Astragalus cytosus,3-nitropropanoic acid,[O-][N+](=O)CCC(=O)O,C3H5NO4,119.08,8,0,0.67,3,4,1,26.41,83.12,0.13,-0.48,-0.26,-0.54,-1.92,-0.61,-0.08,9.95E+01,8.36E-01,Very soluble,-0.8,1.89E+01,1.59E-01,Very soluble,0.6,4.80E+02,4.03E+00,Soluble,High,No,No,No,No,No,No,No,-7.37,0,3,0,0,2,0.56,0,2,1,1.83
 Avicennia marina,Stenocarpoquinone B,O=C1C2=C(C[C@H](O2)C(O)(C)C)C(=O)c2c1cccc2,C15H14O4,258.27,19,6,0.33,1,4,1,68.45,63.6,2.12,1.67,1.88,0.55,2.59,1.76,-2.66,5.64E-01,2.18E-03,Soluble,-2.62,6.20E-01,2.40E-03,Soluble,-3.57,7.00E-02,2.71E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.69,0,0,0,0,0,0.85,1,0,0,3.74
 Avicennia marina,Marinoid D,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2C(=CC3)COC(=O)c2cc(OC)c(c(c2)OC)O)C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O,C25H30O14,554.5,39,6,0.52,10,14,6,127.22,210.9,2.01,-0.85,-0.73,-1.55,-1.2,-0.46,-2.2,3.53E+00,6.36E-03,Soluble,-3.1,4.42E-01,7.98E-04,Soluble,0.11,7.09E+02,1.28E+00,Soluble,Low,No,No,No,No,No,No,No,-10.29,3,2,1,1,3,0.11,0,1,2,6.22
 Avicennia marina,Marinoid C,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@](C)(O)CC3)C(=O)O)[C@@H]([C@H]([C@H]1O)O)OC(=O)/C=C/c1ccc(cc1)O,C25H30O12,522.5,37,6,0.52,8,12,6,124.46,192.44,1.66,0.34,-0.23,-0.86,-0.63,0.06,-2.89,6.80E-01,1.30E-03,Soluble,-3.95,5.93E-02,1.13E-04,Soluble,0.01,5.38E+02,1.03E+00,Soluble,Low,No,Yes,No,No,No,No,No,-9.25,3,1,1,1,3,0.11,0,1,2,6.13
 Avicennia marina,Marinoid B,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@](C)(O)CC3)C(=O)O)[C@@H]([C@H]([C@@H]1O)O)OC(=O)/C=C/c1ccc(cc1)OC,C26H32O12,536.53,38,6,0.54,9,12,5,128.93,181.44,3.08,0.66,0.07,-0.65,-0.07,0.62,-3.11,4.21E-01,7.85E-04,Soluble,-4.05,4.82E-02,8.99E-05,Moderately soluble,-0.67,1.14E+02,2.13E-01,Soluble,Low,No,Yes,No,No,No,No,No,-9.1,2,1,1,1,2,0.11,0,1,2,6.21
 Avicennia marina,Marinoid A,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H]3[C@H]2[C@](C)(O)CC3)C(=O)O)[C@@H]([C@H]([C@@H]1O)O)OC(=O)/C=C/c1ccccc1,C25H30O11,506.5,36,6,0.52,8,11,5,122.43,172.21,2.28,0.69,0.06,-0.37,-0.16,0.5,-3.01,4.95E-01,9.76E-04,Soluble,-3.88,6.62E-02,1.31E-04,Soluble,-0.58,1.33E+02,2.63E-01,Soluble,Low,No,Yes,No,No,No,No,No,-8.9,2,1,1,1,2,0.11,0,1,2,6.14
 Avicennia marina,Luteorin 5-methyl ether 3'-glucoside,OC[C@H]1O[C@@H](Oc2cc(ccc2O)c2cc(=O)c3c(o2)cc(cc3OC)O)[C@@H]([C@H]([C@@H]1O)O)O,C22H22O11,462.4,33,16,0.32,5,11,6,112.6,179.28,-0.6,1.23,0.06,-1.89,0.42,-0.16,-3.51,1.43E-01,3.09E-04,Soluble,-4.59,1.18E-02,2.56E-05,Moderately soluble,-2.79,7.48E-01,1.62E-03,Soluble,Low,No,No,No,No,No,No,Yes,-8.25,2,0,1,1,3,0.17,0,0,1,5.26
 Avicennia marina,Betaine,[O-]C(=O)C[N+](C)(C)C,C5H11NO2,117.15,8,0,0.8,2,2,0,28.35,40.13,-2.19,-0.13,-1.56,-3.67,-0.91,-1.69,-0.35,5.20E+01,4.44E-01,Very soluble,-0.26,6.45E+01,5.51E-01,Very soluble,-0.82,1.76E+01,1.50E-01,Soluble,Low,No,No,No,No,No,No,No,-7.11,0,4,0,0,1,0.55,0,1,1,1
 Avicennia marina,Avicequinone C,O=C1c2oc(cc2C(=O)c2c1cccc2)C(O)(C)C,C15H12O4,256.25,19,11,0.2,1,4,1,67.64,67.51,2.13,2.01,2.17,0.43,3.19,1.99,-3.06,2.24E-01,8.76E-04,Soluble,-3.05,2.26E-01,8.82E-04,Soluble,-4.71,5.01E-03,1.95E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-6.44,0,0,0,0,0,0.55,1,0,0,3.31
 Avicennia marina,Avicequinone A,O=C1c2ccccc2C(=O)C2=C1O[C@@H]([C@H]2O)C(O)(C)C,C15H14O5,274.27,20,6,0.33,1,5,2,69.61,83.83,1.64,1.11,0.85,-0.28,1.69,1,-2.4,1.10E+00,4.02E-03,Soluble,-2.46,9.43E-01,3.44E-03,Soluble,-2.76,4.80E-01,1.75E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.18,0,0,0,0,0,0.56,1,0,0,4.07
 Avicennia marina,Avicenol C,COc1c2C[C@@H](Oc2c(c2c1cccc2)OC)C(O)(C)C,C17H20O4,288.34,21,10,0.41,3,4,1,81.9,47.92,3.2,3.12,2.93,1.88,3.4,2.91,-3.75,5.15E-02,1.79E-04,Soluble,-3.8,4.62E-02,1.60E-04,Soluble,-4.63,6.73E-03,2.33E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.84,0,0,0,0,0,0.55,0,0,0,3.4
 Avicennia marina,Avicenol A,COc1c2ccccc2c(c2c1O[C@@H]([C@@H]2O)C(O)(C)C)OC,C17H20O5,304.34,22,10,0.41,3,5,2,83.06,68.15,2.75,2.56,2.1,1.05,2.51,2.19,-3.48,1.01E-01,3.33E-04,Soluble,-3.64,6.99E-02,2.30E-04,Soluble,-3.82,4.62E-02,1.52E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.34,0,0,0,0,0,0.55,0,0,0,3.77
 Avicennia marina,Avicennone G,O[C@@H]1c2ccccc2C(=O)[C@@]2([C@H]1O[C@@H](C2)C(O)(C)C)O,C15H18O5,278.3,20,6,0.53,1,5,3,70.86,86.99,2,-0.13,0.25,-0.12,1.12,0.63,-1.64,6.38E+00,2.29E-02,Very soluble,-1.24,1.59E+01,5.71E-02,Very soluble,-2.08,2.31E+00,8.32E-03,Soluble,High,No,No,No,No,No,No,No,-8.09,0,0,0,0,0,0.55,0,0,0,3.97
Avicennia marina,Avicennone F,O=C1[C@H]2C[C@H](O[C@H]2[C@@H](c2c1cccc2)O)C(O)(C)C,C15H18O4,262.3,19,6,0.53,1,4,2,69.66,66.76,2.17,0.64,1.14,0.71,1.62,1.26,-2.04,2.41E+00,9.18E-03,Soluble,-1.62,6.33E+00,2.41E-02,Very soluble,-2.44,9.52E-01,3.63E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.45,0,0,0,0,0,0.55,0,0,0,3.84
Avicennia marina,Avicennone D,Oc1ccc2c(c1)C(=O)c1c(C2=O)occ1,C12H6O4,214.17,16,11,0,0,4,1,54.04,67.51,1.29,1.91,1.76,-0.1,2.45,1.46,-2.88,2.82E-01,1.32E-03,Soluble,-2.95,2.40E-01,1.12E-03,Soluble,-3.89,2.77E-02,1.29E-04,Soluble,High,Yes,No,Yes,No,No,No,Yes,-6.25,0,0,0,0,0,0.55,1,0,1,2.73
Avicennia marina,Avicennone C,CC(=CC[C@]12O[C@H]1[C@@H](O)c1c(C2=O)cccc1)C,C15H16O3,244.29,18,6,0.4,2,3,1,68.03,49.83,2.31,2.16,2.09,1.48,3.12,2.23,-2.83,3.61E-01,1.48E-03,Soluble,-2.84,3.54E-01,1.45E-03,Soluble,-3.36,1.08E-01,4.41E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,2,1,3.89
Avicennia marina,Avicennone B,CO/C(=C\1/C(=O)O[C@@H]([C@H]1O)C(O)(C)C)/c1ccccc1C(=O)OC,C17H20O7,336.34,24,6,0.41,5,7,2,84.08,102.29,1.98,1.3,0.89,0.49,1.62,1.25,-2.6,8.46E-01,2.52E-03,Soluble,-3.05,3.01E-01,8.95E-04,Soluble,-2.55,9.44E-01,2.81E-03,Soluble,High,No,No,No,No,No,No,No,-7.43,0,0,0,0,0,0.56,0,3,0,4.18
Avicennia marina,Avicennone A,CO/C(=C/1\C[C@H](OC1=O)C(O)(C)C)/c1ccccc1C(=O)OC,C17H20O6,320.34,23,6,0.41,5,6,1,82.92,82.06,2.78,1.86,1.92,1.29,2.49,2.07,-2.86,4.41E-01,1.38E-03,Soluble,-3.2,2.00E-01,6.24E-04,Soluble,-3.37,1.38E-01,4.31E-04,Soluble,High,No,No,No,Yes,No,No,No,-6.93,0,0,0,0,0,0.56,0,3,0,3.84
 Camelia sinensis,Gibberellin A1,Oc1cc2O[C@@H]([C@@H](Cc2c(c1)O)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(=O)c2c(c1)c(cc(c2O)O)[C@H]1Oc2cc(O)cc(c2C[C@H]1OC(=O)c1cc(O)c(c(c1)O)O)O,C43H32O20,868.7,63,35,0.14,8,20,13,215.39,351.12,-1.48,4.71,3.53,-1.17,1.79,1.48,-8.08,7.29E-06,8.39E-09,Poorly soluble,-11.81,1.34E-09,1.54E-12,Insoluble,-5.88,1.15E-03,1.33E-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-8.25,3,3,1,1,5,0.17,1,2,3,6.36
Citrullus colocynthis,Isovitexin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,C16H18O9,432.38,31,16,0.29,3,10,7,106.61,181.05,1.97,0.21,-0.23,-2.02,0.33,0.05,-2.84,6.29E-01,1.46E-03,Soluble,-3.57,1.16E-01,2.68E-04,Soluble,-2.38,1.81E+00,4.20E-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,4.99
 Citrullus colocynthis,3-O-Caffeoylquinic acid,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C29H48O,354.31,25,6,0.38,5,9,6,83.5,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.50E+00,2.40E-02,Very soluble,-2.58,9.42E-01,2.66E-03,Soluble,0.4,8.94E+02,2.52E+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16
 Citrullus colocynthis,Spinasterol,CC[C@@H](C(C)C)/C=C/[C@@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1C2=CC[C@@H]2[C@]1(C)CC[C@@H](C2)O)C,C10H12O4,412.69,30,0,0.86,5,1,1,132.75,20.23,5.06,8.3,7.8,6.62,6.86,6.93,-7.3,2.08E-05,5.04E-08,Poorly soluble,-8.59,1.06E-06,2.58E-09,Poorly soluble,-5.47,1.40E-03,3.39E-06,Moderately soluble,Low,No,No,No,No,No,No,No,-2.92,1,3,0,1,2,0.55,0,1,2,6.09
 Citrullus colocynthis,"3,4'-Dihydroxy-3'-methoxypropiophenone",OCCC(=O)c1ccc(c(c1)OC)O,C9H10O3,196.2,14,6,0.3,4,4,2,51.12,66.76,1.71,-0.24,0.97,0.28,1.44,0.83,-0.96,2.16E+01,1.10E-01,Very soluble,-0.7,3.88E+01,1.98E-01,Very soluble,-2.14,1.43E+00,7.29E-03,Soluble,High,No,No,No,No,No,No,No,-7.67,0,0,0,0,1,0.55,0,0,1,1.6
 Citrullus colocynthis,"3,4'-Dihydroxypropiophenone",OCCC(=O)c1ccc(cc1)O,C13H18O7,166.17,12,6,0.22,3,3,2,44.63,57.53,1.16,0.81,0.96,0.56,1.4,0.98,-1.55,4.66E+00,2.80E-02,Very soluble,-1.6,4.18E+00,2.51E-02,Very soluble,-2,1.67E+00,1.01E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.74,0,0,0,0,1,0.55,0,0,1,1.02
 Citrullus colocynthis,4-(beta-D-Glucopyranosyloxy) benzyl alcohol,OC[C@H]1O[C@@H](Oc2ccc(cc2)CO)[C@@H]([C@H]([C@H]1O)O)O,C13H18O7,286.28,20,6,0.54,4,7,5,66.72,119.61,1.46,-1.41,-1.79,-1.48,-0.85,-0.82,-0.68,5.92E+01,2.07E-01,Very soluble,-0.6,7.19E+01,2.51E-01,Very soluble,-0.04,2.59E+02,9.04E-01,Soluble,Low,No,No,Yes,No,No,No,No,-9.05,0,1,0,0,0,0.55,0,0,0,4.1
Citrullus colocynthis,4-Hydroxybenzyl beta-D-glucopyranoside,OC[C@H]1O[C@@H](OCc2ccc(cc2)O)[C@@H]([C@H]([C@H]1O)O)O,C13H18O6,286.28,20,6,0.54,4,7,5,66.98,119.61,0.89,-1.06,-1.44,-1.48,-0.85,-0.79,-0.91,3.56E+01,1.24E-01,Very soluble,-0.96,3.12E+01,1.09E-01,Very soluble,-0.04,2.59E+02,9.04E-01,Soluble,High,No,No,No,No,No,No,No,-8.8,0,1,0,0,0,0.55,0,0,0,4.13
Citrullus colocynthis,Benzyl beta-D-glucopyranoside,OC[C@H]1O[C@@H](OCc2ccccc2)[C@@H]([C@H]([C@H]1O)O)O,C13H16O7,270.28,19,6,0.54,4,6,4,64.95,99.38,2.08,-0.7,-1.15,-0.95,-0.38,-0.22,-1.04,2.44E+01,9.03E-02,Very soluble,-0.91,3.31E+01,1.23E-01,Very soluble,-0.62,6.42E+01,2.38E-01,Soluble,High,No,No,Yes,No,No,No,No,-8.45,0,1,0,0,0,0.55,0,0,0,4.2
Citrullus colocynthis,Helicid,OC[C@H]1O[C@@H](Oc2ccc(cc2)C=O)[C@@H]([C@@H]([C@@H]1O)O)O,C9H8O3,284.26,20,6,0.46,4,7,4,65.97,116.45,1.81,-0.91,-1.32,-1.57,-0.55,-0.51,-0.99,2.93E+01,1.03E-01,Very soluble,-1.05,2.52E+01,8.86E-02,Very soluble,-0.16,1.95E+02,6.87E-01,Soluble,High,No,No,Yes,No,No,No,No,-8.68,0,1,0,0,0,0.55,0,1,0,3.99
 Crocus sativus,p-Coumaric acid,OC(=O)/C=C/c1ccc(cc1)O,C7H6O2,164.16,12,6,0,2,3,2,45.13,57.53,0.95,1.46,1.38,1.28,1.22,1.26,-2.02,1.58E+00,9.65E-03,Soluble,-2.27,8.73E-01,5.32E-03,Soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.26,0,0,0,0,1,0.85,0,1,1,1.61
 Crocus sativus,Benzoic acid,OC(=O)c1ccccc1,C6H6N2O,122.12,9,6,0,1,2,1,33.4,37.3,1.11,1.87,1.38,1.6,1.24,1.44,-2.2,7.66E-01,6.27E-03,Soluble,-2.27,6.48E-01,5.31E-03,Soluble,-1.72,2.31E+00,1.89E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.72,0,3,0,0,1,0.85,0,0,1,1
 Crocus sativus,Nicotinamide,NC(=O)c1cccnc1,C16H12O6,122.12,9,6,0,1,2,1,32.33,55.98,0.7,-0.37,0.18,-0.43,0.52,0.12,-0.79,1.97E+01,1.62E-01,Very soluble,-0.34,5.55E+01,4.54E-01,Very soluble,-1.57,3.30E+00,2.70E-02,Soluble,High,No,No,No,No,No,No,No,-7.31,0,3,0,0,1,0.55,0,0,1,1
Crocus sativus,Kaempferide,COc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C5H6N2O2,300.26,22,16,0.06,2,6,3,80.48,100.13,2.43,2.22,2.59,0.22,2.55,2,-3.51,9.36E-02,3.12E-04,Soluble,-3.96,3.31E-02,1.10E-04,Soluble,-4.52,9.07E-03,3.02E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,0,0,3.16
